Bemidbar Rabbah 11:7,"set([Ref('Jeremiah 3:22'), Ref('Deuteronomy 20:10'), Ref('Isaiah 40:26'), Ref('Jeremiah 23:29'), Ref('Job 33'), Ref('Job 25'), Ref('Job 25:2'), Ref('Deuteronomy 23'), Ref('Psalms 62:12'), Ref('Job 25:3'), Ref('Lamentations 3'), Ref('Exodus 20:1'), Ref('Jeremiah 3'), Ref('Exodus 15:3'), Ref('Daniel 7:10'), Ref('Isaiah 32'), Ref('Isaiah 9:6'), Ref('Deuteronomy 10'), Ref('Isaiah 63'), Ref('Psalms 68'), Ref('Jeremiah 23'), Ref('Judges 6:24'), Ref('Isaiah 40'), Ref('Numbers 25'), Ref('Leviticus 26:9'), Ref('Genesis 6:17'), Ref('Genesis 40:19'), Ref('Psalms 119'), Ref('Job 33:22'), Ref('Genesis 18'), Ref('Daniel 9'), Ref('Hosea 4'), Ref('Daniel 7'), Ref('Psalms 62'), Ref('Jeremiah 4'), Ref('Genesis 19'), Ref('Isaiah 63:3'), Ref('Joshua 10'), Ref('Hosea 10:11'), Ref('Isaiah 57'), Ref('Isaiah 55'), Ref('Deuteronomy 10:17'), Ref('Psalms 65'), Ref('Joshua 10:11'), Ref('Hosea 10'), Ref('Exodus 20'), Ref('Numbers 25:12'), Ref('Psalms 35'), Ref('Isaiah 54'), Ref('Exodus 15'), Ref('Psalms 29:11'), Ref('Genesis 15'), Ref('I Samuel 2'), Ref('Hosea 4:17'), Ref('Leviticus 26:6'), Ref('Genesis 15:15'), Ref('Genesis 19:24'), Ref('Jeremiah 4:14'), Ref('Deuteronomy 23:7'), Ref('Leviticus 20'), Ref('II Kings 19'), Ref('Judges 13:3'), Ref('Hosea 10:2'), Ref('Daniel 9:14'), Ref('Exodus 12'), Ref('Isaiah 9'), Ref('Judges 13'), Ref('Deuteronomy 20'), Ref('Genesis 6'), Ref('II Samuel 24:24'), Ref('Psalms 119:165'), Ref('Proverbs 3'), Ref('Judges 6'), Ref('Leviticus 20:6'), Ref('Psalms 145'), Ref('I Samuel 2:25'), Ref('II Samuel 24:22'), Ref('Genesis 40'), Ref('Exodus 12:29'), Ref('Genesis 19:21'), Ref('I Kings 5:6'), Ref('Isaiah 57:19'), Ref('Isaiah 32:17'), Ref('Isaiah 54:13'), Ref('Psalms 29'), Ref('Judges 11:13'), Ref('II Kings 19:35'), Ref('Psalms 68:18'), Ref('II Samuel 24'), Ref('Malachi 2:5'), Ref('Psalms 65:3'), Ref('Judges 11'), Ref('Isaiah 32:18'), Ref('Genesis 18:13'), Ref('Lamentations 3:44'), Ref('I Kings 5'), Ref('Malachi 2'), Ref('Isaiah 57:2'), Ref('Psalms 145:18'), Ref('Lamentations 3:38'), Ref('Isaiah 55:6'), Ref('Leviticus 26'), Ref('Judges 13:18'), Ref('Proverbs 3:17'), Ref('Psalms 35:6')])"
Sifrei Devarim 32:1,"set([Ref('Deuteronomy 6'), Ref('Deuteronomy 6:5')])"
Shemot Rabbah 25:8,"set([Ref('Jeremiah 36'), Ref('Jeremiah 36:24')])"
Bemidbar Rabbah 5:3,"set([Ref('Exodus 10'), Ref('Genesis 5:24'), Ref('Nahum 1:7'), Ref('Nahum 1'), Ref('II Samuel 21:1'), Ref('Isaiah 56:3'), Ref('Genesis 5'), Ref('II Samuel 21'), Ref('Isaiah 56'), Ref('Exodus 10:23')])"
Ein Yaakov (Glick Edition); Sotah 1:30,"set([Ref('Psalms 81:6'), Ref('Psalms 81')])"
Bemidbar Rabbah 6:2,"set([Ref('Job 36:8'), Ref('Leviticus 13:5'), Ref('Isaiah 50'), Ref('Ezra 3:8'), Ref('Genesis 49:3'), Ref('Psalms 101:6'), Ref('Isaiah 50:11'), Ref('Genesis 49'), Ref('Exodus 24'), Ref('Numbers 3'), Ref('Exodus 24:5'), Ref('Psalms 45'), Ref('Psalms 45:17'), Ref('Psalms 89'), Ref('Ezra 3'), Ref('Psalms 101'), Ref('Leviticus 9'), Ref('Psalms 89:28'), Ref('Leviticus 13'), Ref('I Samuel 2:10'), Ref('Leviticus 9:22'), Ref('I Samuel 2'), Ref('Numbers 3:41'), Ref('Job 36'), Ref('Job 36:7')])"
Sifrei Devarim 43:13,"set([Ref('Micah 3:12'), Ref('Numbers 1:51'), Ref('Isaiah 8:2'), Ref('Zechariah 8:4'), Ref('Lamentations 5:16'), Ref('Lamentations 5'), Ref('Zechariah 8'), Ref('Isaiah 8'), Ref('Micah 3'), Ref('Numbers 1')])"
Rashi on Numbers 32:17:2,"set([Ref('Joshua 6'), Ref('Joshua 6:13'), Ref('Deuteronomy 33'), Ref('Deuteronomy 33:20')])"
Bemidbar Rabbah 21:24,"set([Ref('Numbers 29'), Ref('Psalms 109:4'), Ref('Psalms 109'), Ref('Numbers 29:36')])"
Bemidbar Rabbah 4:8,"set([Ref('Genesis 35:1'), Ref('Ezekiel 35'), Ref('Exodus 24:5'), Ref('Psalms 69:32'), Ref('Ezekiel 35:6'), Ref('Exodus 24'), Ref('Psalms 69'), Ref('Genesis 3:21'), Ref('Genesis 35'), Ref('Genesis 3')])"
Radak on Genesis 26:26:1,"set([Ref('Judges 14'), Ref('Judges 14:20')])"
Sifrei Devarim 234:1,"set([Ref('Numbers 15:38'), Ref('Numbers 15')])"
Rashi on Leviticus 26:14:1,"set([Ref('Genesis 10'), Ref('Genesis 10:9')])"
Bemidbar Rabbah 10:10,"set([Ref('Genesis 41'), Ref('Genesis 41:14')])"
Bereishit Rabbah 65:11,"set([Ref('Obadiah 1:2'), Ref('Isaiah 34:6'), Ref('Deuteronomy 18'), Ref('Proverbs 26'), Ref('Deuteronomy 18:10'), Ref('Isaiah 34'), Ref('Obadiah 1'), Ref('Proverbs 26:25')])"
Sifrei Devarim 305:2,"set([Ref('Numbers 27:21'), Ref('Hosea 11:1'), Ref('Numbers 27'), Ref('Hosea 11')])"
Otzar Midrashim; Midrash on Psalms; Addendum to Psalm 118 68,"set([Ref('Psalms 19'), Ref('Psalms 19:8')])"
Rashi on Exodus 34:24:1,"set([Ref('Deuteronomy 2'), Ref('Deuteronomy 2:31')])"
Sifrei Devarim 310:4,"set([Ref('Numbers 11'), Ref('Numbers 11:16')])"
Bemidbar Rabbah 9:48,"set([Ref('Exodus 24:4'), Ref('Exodus 24')])"
Shemot Rabbah 43:3,"set([Ref('Malachi 1'), Ref('Exodus 15'), Ref('Psalms 45'), Ref('Daniel 9'), Ref('Psalms 45:13'), Ref('Daniel 9:13'), Ref('Exodus 35'), Ref('Exodus 15:23'), Ref('Exodus 35:34'), Ref('Proverbs 4'), Ref('Proverbs 4:4'), Ref('Exodus 15:25'), Ref('Malachi 1:9')])"
Sifrei Devarim 313:13,"set([Ref('Numbers 10:35'), Ref('Numbers 10')])"
Bemidbar Rabbah 10:1,"set([Ref('Leviticus 21'), Ref('Psalms 68'), Ref('Psalms 45'), Ref('Hosea 4:1'), Ref('Jeremiah 33'), Ref('Exodus 30:12'), Ref('Psalms 92'), Ref('Psalms 68:22'), Ref('Psalms 65'), Ref('Job 28:28'), Ref('Hosea 4'), Ref('Isaiah 1'), Ref('Micah 6:3'), Ref('Psalms 29'), Ref('Genesis 2:1'), Ref('Leviticus 20:26'), Ref('Deuteronomy 24:19'), Ref('Jeremiah 33:25'), Ref('Psalms 92:13'), Ref('Psalms 65:5'), Ref('Isaiah 1:18'), Ref('Ezekiel 33:11'), Ref('Proverbs 3:19'), Ref('Leviticus 19:23'), Ref('Psalms 29:4'), Ref('Exodus 22:28'), Ref('Exodus 22'), Ref('Hosea 12:3'), Ref('Leviticus 19:9'), Ref('Deuteronomy 22:10'), Ref('Ezekiel 33:12'), Ref('Amos 5:4'), Ref('Micah 6'), Ref('Leviticus 11:43'), Ref('Amos 5'), Ref('Hosea 12'), Ref('Psalms 45:9'), Ref('Leviticus 21:5'), Ref('Exodus 30'), Ref('Ezekiel 20:20'), Ref('Deuteronomy 22'), Ref('Deuteronomy 24'), Ref('Proverbs 3'), Ref('Leviticus 20'), Ref('Job 28'), Ref('Leviticus 19:20'), Ref('Leviticus 19:26'), Ref('Proverbs 3:8'), Ref('Ezekiel 33'), Ref('Hosea 12:4'), Ref('Leviticus 19'), Ref('Leviticus 19:19'), Ref('Micah 6:2'), Ref('Leviticus 11'), Ref('Ezekiel 20'), Ref('Ezekiel 33:19'), Ref('Psalms 84:3'), Ref('Psalms 84'), Ref('Genesis 2')])"
Mekhilta d'Rabbi Yishmael 14:6:1,"set([Ref('Numbers 22'), Ref('Genesis 22'), Ref('Numbers 22:21'), Ref('Genesis 22:3'), Ref('Genesis 22:10')])"
Sifrei Devarim 321:15,"set([Ref('Numbers 11'), Ref('Numbers 11:28')])"
Vayikra Rabbah 22:9,"set([Ref('Deuteronomy 12'), Ref('Judges 6:25'), Ref('I Samuel 7'), Ref('Judges 6'), Ref('Deuteronomy 12:13'), Ref('I Kings 18'), Ref('Joshua 8'), Ref('I Samuel 7:9'), Ref('I Kings 18:36'), Ref('I Samuel 7:17'), Ref('Joshua 8:30')])"
Rashi on Exodus 15:3:1,"set([Ref('I Kings 2:2'), Ref('Ruth 1:3'), Ref('I Kings 2'), Ref('Ruth 1')])"
Sifrei Devarim 313:14,"set([Ref('Hosea 2'), Ref('Hosea 2:16')])"
Rashi on Numbers 31:6:1,"set([Ref('Genesis 37:36'), Ref('Exodus 6:25'), Ref('Genesis 37'), Ref('Exodus 6')])"
Sifrei Devarim 51:5,"set([Ref('Numbers 34'), Ref('Numbers 34:6')])"
