OCLC_number,digitizedBySefaria,language,license,title,updated_version_source,versionSource,versionTitle,purchaseInformationURL,image url,update image
242981631,TRUE,he,FALSE,Revealment and Concealment in Language,https://www.nli.org.il/en/books/NNL_ALEPH001779483/NLI,http://beta.nli.org.il/he/books/NNL_ALEPH001779483/NLI,"Gilui v'Kisui Ba'lashon, Midrasha Oranim 2001",https://www.oranim.ac.il/sites/heb/hamidrasha/hotsaa-laor/machberet-shdemot/giluy-vekisuy/pages/default.aspx,https://www.oranim.ac.il/sites/heb/SiteCollectionImages/Pictures/hamidrasha/machberet-shdemot/giluy-vekisuy.jpg,
242981577,TRUE,he,FALSE,Ali Be'er on Revealment and Concealment in Language,,https://www.sefaria.org,"Gilui v'Kisui Ba'lashon, Midrasha Oranim 2001",https://www.oranim.ac.il/sites/heb/hamidrasha/hotsaa-laor/machberet-shdemot/giluy-vekisuy/pages/default.aspx,https://www.oranim.ac.il/sites/heb/SiteCollectionImages/Pictures/hamidrasha/machberet-shdemot/giluy-vekisuy.jpg,
242981631,TRUE,he,FALSE,Commentaries on Revealment and Concealment in Language,https://www.nli.org.il/en/books/NNL_ALEPH001779483/NLI,http://beta.nli.org.il/he/books/NNL_ALEPH001779483/NLI,"Gilui v'Kisui Ba'lashon, Midrasha Oranim 2001",https://www.oranim.ac.il/sites/heb/hamidrasha/hotsaa-laor/machberet-shdemot/giluy-vekisuy/pages/default.aspx,https://www.oranim.ac.il/sites/heb/SiteCollectionImages/Pictures/hamidrasha/machberet-shdemot/giluy-vekisuy.jpg,
53169514,FALSE,en,CC-BY,Machzor Yom Kippur Ashkenaz Linear,https://www.nli.org.il/en/books/NNL_ALEPH000996925/NLI,http://primo.nli.org.il/primo_library/libweb/action/dlDisplay.do?vid=NLI&docId=NNL_ALEPH000996925,"The Metsudah Machzor. Metsudah Publications, New York",https://www.israelbookshoppublications.com/store/pc/Metsudah-Machzor-Yom-Kippur-Standard-Size-19p1193.htm,https://www.israelbookshoppublications.com/store/pc/catalog/m196-7_2329_general.gif,
53169514,TRUE,he,CC-BY,Machzor Yom Kippur Ashkenaz Linear,https://www.nli.org.il/en/books/NNL_ALEPH000996925/NLI,http://primo.nli.org.il/primo_library/libweb/action/dlDisplay.do?vid=NLI&docId=NNL_ALEPH000996925,"The Metsudah Machzor. Metsudah Publications, New York",https://www.israelbookshoppublications.com/store/pc/Metsudah-Machzor-Yom-Kippur-Standard-Size-19p1193.htm,https://www.israelbookshoppublications.com/store/pc/catalog/m196-7_2329_general.gif,
,FALSE,en,FALSE,Machzor Yom Kippur Ashkenaz,https://www.nli.org.il/en/books/NNL_ALEPH000996925/NLI,http://primo.nli.org.il/primo_library/libweb/action/dlDisplay.do?vid=NLI&docId=NNL_ALEPH000996925,"The Metsudah Machzor. Metsudah Publications, New York - Eng (paragraph ed.)",https://www.israelbookshoppublications.com/store/pc/Metsudah-Machzor-Yom-Kippur-Standard-Size-19p1193.htm,https://www.israelbookshoppublications.com/store/pc/catalog/m196-7_2329_general.gif,
74492558,FALSE,en,CC-BY,Machzor Rosh Hashanah Ashkenaz Linear,https://www.nli.org.il/en/books/NNL_ALEPH000996925/NLI,http://primo.nli.org.il/primo_library/libweb/action/dlDisplay.do?vid=NLI&docId=NNL_ALEPH000996925,"The Metsudah Machzor. Metsudah Publications, New York -- en",https://www.israelbookshoppublications.com/store/pc/Metsudah-Machzor-Rosh-Hashanah-Standard-Size-19p1191.htm,https://www.israelbookshoppublications.com/store/pc/catalog/m196-7_2329_general.gif,
,FALSE,en,CC-BY,Machzor Rosh Hashanah Ashkenaz,https://www.nli.org.il/en/books/NNL_ALEPH000996925/NLI,http://primo.nli.org.il/primo_library/libweb/action/dlDisplay.do?vid=NLI&docId=NNL_ALEPH000996925,"The Metsudah Machzor. Metsudah Publications, New York -- en (paragraph ed.)",https://www.israelbookshoppublications.com/store/pc/Metsudah-Machzor-Rosh-Hashanah-Standard-Size-19p1191.htm,https://www.israelbookshoppublications.com/store/pc/catalog/m196-7_2329_general.gif,
74492558,TRUE,he,CC-BY,Machzor Rosh Hashanah Ashkenaz Linear,https://www.nli.org.il/en/books/NNL_ALEPH000996925/NLI,http://primo.nli.org.il/primo_library/libweb/action/dlDisplay.do?vid=NLI&docId=NNL_ALEPH000996925,"The Metsudah Machzor. Metsudah Publications, New York -- he",https://www.israelbookshoppublications.com/store/pc/Metsudah-Machzor-Rosh-Hashanah-Standard-Size-19p1191.htm,https://www.israelbookshoppublications.com/store/pc/catalog/m196-7_2329_general.gif,
,TRUE,he,CC-BY,Machzor Rosh Hashanah Ashkenaz,https://www.nli.org.il/en/books/NNL_ALEPH000996925/NLI,http://primo.nli.org.il/primo_library/libweb/action/dlDisplay.do?vid=NLI&docId=NNL_ALEPH000996925,"The Metsudah Machzor. Metsudah Publications, New York -- he (paragraph ed.)",https://www.israelbookshoppublications.com/store/pc/Metsudah-Machzor-Rosh-Hashanah-Standard-Size-19p1191.htm,https://www.israelbookshoppublications.com/store/pc/catalog/m196-7_2329_general.gif,
