Priority,Section,English Title,Hebrew Title,Transliterated Title,Title Variants,Categories,Text Structure,Ready for Upload?,Length
,23.4,HaK'tav V'haKabbalah,הכתב והקבלה,,HaK'tav V'haKabbalah,"Commentary, Acharonim",,,
,25.6,Vilna Gaon,"גר""א",,Vilna Gaon,"Commentary, Acharonim",,,
,10.0,Midrash Tanchuma,מדרש תנחומא,,"Midrash Tanchuma, Midrash Tanchuma",Midrash,"Book, Parshah, Siman",,
,,Kli Yakar,כלי יקר,,Kli Yakar,"Commentary, Acharonim",", ",,
,,Derekh Mitsvotekha,,,"Derekh Mitsvotekha, Derekh Mitsvotekha, Derech Mitzvosecha",Chasidut,"Mitsva, Paragraph",,
,,Legends of the Jews,,,"Legends of the Jews, The Legends of the Jews",Modern,"Volume, Chapter, Paragraph",,
,,Ben Ish Hai,בן איש חי,,"Ben Ish Hai, Ben Ish Hai, Ben Ish Chai",Halacha,"Parshah, Letter",,
,,Zohar,זוהר,,Zohar,Kabbalah,"Part, Page",,
,,Sefer Yetzirah,ספר יצירה,,"Sefer Yetzirah, The Book of Formation",Kabbalah,"Chapter, Mishna",,
,,Shulchan Aruch,שלחן ערוך,,"Shulchan Aruch, Shulchan Aruch",Halacha,"Chelek, Siman, Se'if",,4
,,Ein Ayah,"עין אי""ה",,Ein Ayah,Modern,"Massechet, Chapter, Section",,
,,Sefer HaBahir,ספר הבהיר,,Sefer HaBahir,Kabbalah,Section,,
,,Kitzur Shulchan Aruch,קיצור שלחן ערוך,,Kitzur Shulchan Aruch,Halacha,"Siman, Se'if",,
,,Metzudat David,מצודת דוד,,"Metzudat David, Metzudat David",Commentary,"24, 11",,
,,Pardes Rimonim,פרדס רימונים,,"Pardes Rimonim, Pardes Rimonim, The Garden of Pomegranates",Kabbalah,"Gate, Chapter",,
,,Be'ur Eser S'firot,ביאור עשר ספירות,,"Be'ur Eser S'firot, Explanation of the 10 Sefirot (Azriel of Gerona)",Kabbalah,"Section, Paragraph",,
,,Shadal,"שד""ל",,Shadal,"Commentary, Acharonim",", ",,
,,For the Perplexed of the Generation,לנבוכי הדור,,"For the Perplexed of the Generation, Pinkas Boisk",Philosophy,"Chapter, Paragraph",,
,,Guide for the Perplexed,מורה נבוכים,,"Guide for the Perplexed, Moreh Nevukhim",Philosophy,"Part, Chapter, Paragraph",,
,,Aramaic Targum to Song of Songs,,,Aramaic Targum to Song of Songs,Targum,"Chapter, Section",,
,2.0,Shemot Rabbah,שמות רבה,,"Shemot Rabbah, Shmot Rabbah, Exodus Rabbah",Midrash,"Chapter, Paragraph",,
,3.0,Vayikra Rabbah,ויקרא רבה,,"Vayikra Rabbah, Leviticus Rabbah",Midrash,"Chapter, Paragraph",,
,4.0,Bemidbar Rabbah,במדבר רבה,,"Bemidbar Rabbah, Bamidbar Rabbah, Bemidbar Rabba, B'midbar Rabbah, B'midbar Rabba, Bamidbar Rabba, Numbers Rabbah, Numbers Rabba",Midrash,"Chapter, Paragraph",,
,5.0,Devarim Rabbah,דברים רבה,,"Devarim Rabbah, D'varim Rabbah, Dvarim Rabbah, Devarim Rabba, D'varim Rabba, Dvarim Rabba, Deuteronomy Rabbah",Midrash,"Chapter, Paragraph",,
,8.0,Ester Rabbah,אסתר רבה,,"Ester Rabbah, Esther Rabbah, Ester Rabba, Esther Rabba",Midrash,"Chapter, Paragraph",,
,6.0,Shir HaShirim Rabbah,שיר השירים רבה,,"Shir HaShirim Rabbah, Shir HaShirim Rabbah, Shir HaShirim Rabba, Shir Hashirim Rabbah, Shir Hashirim Rabba",Midrash,"Chapter, Subsection, Midrash",,
,11.0,Ein Yaakov,עין יעקב‎,,"Ein Yaakov, Ein Yaacov, Ein Yacov, Ein Yaacov",Midrash,"Chapter, verse",,
,9.0,Kohelet Rabbah,קוהלת רבה,,"Kohelet Rabbah, Kohelet Rabba",Midrash,"Chapter, Subsection, Midrash",,
,7.0,Rut Rabba,רות רבה,,"Rut Rabba, Rut Rabbah, Ruth Rabbah, Ruth Rabba",Midrash,"Chapter, Midrash",,
,10,Eichah Rabbah,איכה רבה,,"Eichah Rabbah, Eichah Rabba, Eicha Rabbah, Eicha Rabba",Midrash,"Chapter, Midrash",,
,,Kedushat Levi,קדשת לוי,,Kedushat Levi,Chasidut,"Parsha, Teaching",,
,1.1,"Mishneh Torah, Transmission of the Oral Law","משנה תורה, מסירת תורה שבעל פה",,"Mishneh Torah, Transmission of the Oral Law, Mishneh Torah, Mesirat Torah Sheba'al Peh, Rambam, Transmission of the Oral Law, Rambam, Mesirat Torah Sheba'al Peh, משנה תורה, מסירת תורה שבעל פה, רמב""ם, מסירת תורה שבעל פה","Mishneh Torah, Introduction",Paragraph,,
,2.2,"Mishneh Torah, Positive Mitzvot","משנה תורה, מצוות עשה",,"Mishneh Torah, Positive Mitzvot, Mishneh Torah, Mitzvot Aseh, Rambam, Positive Mitzvot, Rambam, Mitzvot Aseh, משנה תורה, מצוות עשה, רמב""ם, מצוות עשה","Mishneh Torah, Introduction",Mitzvah,,248
