Arbaah_Turim.1	Orach Chaim	אורח חיים
Arbaah_Turim.2	Yoreh Deah	יורה דעה
Arbaah_Turim.3	Even HaEzer	אבן העזר
Arbaah_Turim.4	Choshen Mishpat	חושן משפט
