English	Hebrew	Count	
Wikisource Rashi	רש״י (ויקיטקסט)	5	
daat zekenim	דעת זקנים	5	
WikiSource Rashi	רש״י (ויקיטקסט)	5	
Tur Yoreh Deah, Vilna, 1923	טור יורה דעה, יולנא 1923	5	
Migdal Chananel, Berlin, 1876	מגדל חננאל, ברלין 1876	5	
Warsaw, 1868	ורשה, 1868	4	
WikiSource Tosafot	תוספות (ויקיטקסט)	4	
1		4	
Torat Emet	תורת אמת	4	
Seder Olam, Warsaw 1904	סדר עולם, ורשה 1904	4	
Shadal first edition, Padua 1871	שד״ל במהדורה המקורית, פדובה 1871	4	
Duties of the Heart, trans. Rabbi Yosef Sebag	חובות הלב, בתרגום רבי יוסף סבג	4	
Torat Emet Freeware Shulchan Aruch	תורת אמת - שולחן ערוך	4	
Teshuvot HaRosh, Vilna, 1885	תשובת הרא״ש, וילנא 1885	3	
Chidushi HaRitva, Amsterdam, 1729.	חידושי הריטב״א, אמסטרדם 1729	3	
En Jacob, translated by SH Glick, 1916	עין יעקב, בתרגום ס.ה. גליק, 1916	3	
Chovat Halevavot, Warsaw 1875	חובת הלבבות, ורשה 1875	3	
daat	דעת	3	
Perush al Hamesh Megillot, Konigsberg, 1860	פירוש על חמש המגילות, קוניגסברג 1860	3	
Sifrei by Rabbi Shraga Silverstein	ספרי, רבי שרגא זילברשטיין	3	
Responsa of Rav Moshe Feinstein, trans. by Moshe David Tendler; Vol. 1: Care of the Critically Ill, Hoboken, NJ: Ktav, 1996.	שו״ת/רבי משה פיינשטיין, תורגם ע״י משה דוד טנדלר; כרך א׳: טיפול בחולים קשים, הובוקן, ניו-ג׳רזי; כתב, 1996	2	
כתובים אחרנים - יצחק זעקיל פרענקיל	כתובים אחרנים - יצחק זעקיל פרענקיל	2	
Malbim on Amos--Wikisource	מלבי״ם על עמוס (ויקיטקסט)	2	
the Open Siddur Project	פרוייקט הסידור הפתוח	2	
Chiddushei haRitva, Munkatch, 1908.	חידושי הריטב״א, מונקאטש 1908	2	
Wikitext	ויקיטקסט	2	
The Laws of Salting Meat -- Rabbi Ari Enkin	הלכות הכשרת בשר -- רבי ארי אנקין	2	
Modernized Tanakh - Based on JPS 1917, Edited by Adam Cohn	תנ״ך מחודש - מבוסס על הוצאת JPS 1917, נערך ע״י אדם כהן	2	
Ibn Ezra on Proverbs -- Daat	אבן עזרא על משלי -- דעת	2	
Malbim on Habakkuk--Wikisource	מלבי״ם על חבקוק (ויקיטקסט)	2	
Ibn Ezra on the Pentateuch; trans. by Jay F. Shachter	אבן עזרא על חמישה חומשי תורה; תורגם ע״י ג׳יי פ. שכטר	2	
Public Domain	דומיין ציבורי	2	
Avraham Kahana 1937 - with ta'am added	אברהם כהנא 1937 - בתוספת טעם	2	
unknown	לא ידוע	2	
Sefer Yezirah, trans. by Isidor Kalisch. New York, 1877	ספר יצירה, בתרגום איזידור קאליש, ניו יורק 1877	2	
Munkatch, 1901	מונקאטש, 1901	2	
Vilna, 1885	וילנא, 1885	2	
B'Mareh HaBazak Machon Eretz Hemdah	במראה הבזק, מכון ארץ חמדה	2	
Eighteen Treatises from the Mishnah	שמונה עשרה מסכתות משנה	2	
Vilna, 1876	וילנא, 1876	2	
Malbim on Joel--Wikisource	מלבי״ם על יואל (ויקיטקסט)	2	
Malbim on Nahum--Wikisource	מלבי״ם על נחום (ויקיטקסט)	2	
Malbim on Micah--Wikisource	מלבי״ם על מיכה (ויקיטקסט)	2	
Rabbi Mike Feuer	רבי מייק פויר	2	
Malbim on Obadiah--Wikisource	מלבי״ם על עובדיה (ויקיטקסט)	2	
Wikisource Aramaic Targum to Chronicles	דברי הימים בתרגום לארמית (ויקיטקסט)	2	
Commentary on Ezra and Nehemiah, Oxford : Clarendon Press, 1882	עזרא ונחמיה: פרשנות, בהוצאת קלירנדון, אוקספורד 1882	2	
Sefaria Edition	מהדורת ספריא	2	
St.Petersburg, 1883	סנט פטרסבורג, 1883	2	
Sefer Hasidim 158	ספר חסידים 158	2	
YU Torah miTzion Beit Midras	בית מדרש תורה מציון (ישיבה יוניברסיטי)	2	
Malbim on Proverbs--Wikisource	מלבי״ם על משלי (ויקיטקסט)	2	
Malbim on Hosea--Wikisource	מלבי״ם על הושע (ויקיטקסט)	2	יהושע?
Sifra by Rabbi Shraga Silverstein	ספרא, רבי שרגא זילברשטיין	2	
The Metsudah Machzor; Metsudah Publications, New York	מחזור מצודה; בהוצאת מצודה, ניו יורק	2	
Kol HaTor	קול התור	2	
Tractate Berakot by A. Cohen, Cambridge University Press, 1921	מסכת ברכות/א. כהן, בהוצאת אוניברסיטת קיימברידג׳, 1921	2	
Warsaw 1883	ורשה, 1883	2	
Jewish Quaterly Review, 1892, Solomon Schechter	Jewish Quaterly Review, סולומון שכטר, 1892	2	known in its English name
The Eight Chapters of Maimonides on Ethics, by Joseph I Gorfinkle	שמונה פרקים לרמב״ם, יוסף גורפינקל	2	
Malbim on Haggai--Wikisource	מלבי״ם על חגי (ויקיטקסט)	2	
Malbim on Malachi--Wikisource	מלבי״ם על מלכים (ויקיטקסט)	2	
Iggeret HaGra -- Wikisource	אגרת הגר״א	2	
Mechon Mamre	מכון ממרא	2	
Code of Hebrew Law by Chaim N. Denburg, Montreal, 1955	קובץ החוק העברי, חיים נ. דנבורג, מונטריאול 1955	2	
Selected Paragraphs from Arfilei Tohar, trans. Yaacov Dovid Shulman	ליקוטים מספר ערפלי טוהר, תורגם ע״י יעקב דוד שולמן	2	
Mechilta de-Rabbi Simon b. Jochai, Dr. D. Hoffman, Frankfurt 1905	מכילתא דרבי שמעון בר יוחאי, ד״ר ד. הופמן, פרנקפורט 1905	2	
Sefer Yetzirah The Book of Creation	ספר יצירה	2	3282
Avodat Yisrael; Konigsberg, c. 1860.		1	
Pirkê de Rabbi Eliezer : (the chapters of Rabbi Eliezer the Great) according to the text of the manuscript belonging to Abraham Epstein of Vienna		1	
Tosefta Keritot - Machon Mamre		1	
Pentateuchal Targumim		1	
tsel		1	
רש״י על יונה ב׳:ג׳:ג׳		1	
Yehudit Chapter 1		1	
Mei HaShiloach; Publication of Sifrei Izhbitza Radzin, Bnei Brak 2005.		1	
סדר מעמדות		1	
מסכת בכורות פרק א		1	
Likutei Moharan		1	
Tanakh: The Holy Scriptures, published by JPS		1	
Tiferet Yisrael on Leviticus		1	
Wikipedia Hadran		1	
The Introduction to the Beit Yaakov, Translated and Annotated by Betzalel Edwards		1	
Sheva Brachot		1	
Noda Bi-Yehudah Part II; Warsaw, 1880		1	
Tosefta Tohorot - Machon Mamre		1	
Luncz, 1901		1	
Responsa Responsa Anthology		1	
A. Alexander 1787		1	
Handwritten Manuscript EH 47 C 32. 1896.		1	
Vilna, 1922		1	
מדרש משלי - בובר		1	
Tosefta Chagigah - Machon Mamre		1	
Kitab al Khazari, translated by Hartwig Hirschfeld, 1905		1	
Wikisource Shulchan Aruch - English		1	
Portuguese Version		1	
Magen Avraham		1	
Tosefta Bava Metziah - Machon Mamre		1	
Tosefta Avodah Zarah - Machon Mamre		1	
La bible d'André Chouraqui		1	
Tosefta Arakhin - Machon Mamre		1	
Degel Machaneh Ephraim, Korets, 1810		1	
OnYourWay		1	
B'Mareh HaBazak Machon Eretz Hemdah -- Vol. 8		1	
Rashbam on Deuteronomy -- Daat		1	
Wertheimer edition		1	
Tafsir al-Torah bi-al-Arabiya, Paris, 1893		1	
B'Mareh HaBazak Machon Eretz Hemdah -- Vol. 5		1	
B'Mareh HaBazak Machon Eretz Hemdah -- Vol. 4		1	
Bekhor Shor, Leipzig, 1856		1	
Rashi		1	
Hakham Tzvi, Lviv, 1900		1	
Mishna Yomit		1	
Chiddushei haRitva, Warsaw 1864		1	
Rabbi Dr. H. Freedman, Soncino Press 1961		1	
Yadid's Translation		1	
Tosefta Shvi'it		1	
Toldot Yaakov Yosef, Korets, 1780		1	
Malbim Beur Hamilot on Haggai- Wikisource		1	
Tiferet Yisrael		1	
Chiddushei HaRamban, Jerusalem 1928-29.		1	
Pesach Haggadah		1	
Sefat emet, Piotrków, 1905-1908		1	
Venice 1545		1	
The Metsudah Machzor; Metsudah Publications, New York -- en		1	
Tosefta Maasrot		1	
Nefesh HaChaim		1	
Tosefta Nazir - Machon Mamre		1	
Petah Einayim, Livorno, 1790		1	
Bekhor Shor, HaTzofeh LeHokhmat Yisrael VIII, Budapest, 1928		1	
(With paragraph breaks)		1	
Teshuvot Maharshal, Fürth, 1768		1	
Bekhor Shor, HaTzofeh LeHokhmat Yisrael VIII, Budapest, 1924		1	
TYT Intro to Mishna Commentary		1	
B'Mareh HaBazak Machon Eretz Hemdah -- Part 3		1	
J.W. Etheridge. The Targums of Onkelos and Jonathan Ben Uzziel on the Pentateuch. London: Longmans, Green, 1862		1	
Online Soncino Babylonian Talmud Translation		1	
