Word Form,Is In Existing Lexicon,Locations found in texts
a fortiori,False,Mishnah Bava Batra 9:7;Mishnah Bava Batra 9:7;Mishnah Yevamot 8:3;Mishnah Makhshirin 6:8;Mishnah Keritot 3:7;Mishnah Zevachim 12:3;Mishnah Nazir 7:4
acharei mot,False,Mishnah Yoma 7:1
ad infinitum,False,Mishnah Yevamot 1:1;Mishnah Yevamot 1:1
adnei hasadeh,False,Mishnah Kilayim 8:5
afikoman,False,Mishnah Pesachim 10:8
aiylonit,False,Mishnah Niddah 5:9
akaeidah,False,Mishnah Tamid 4:1
akel,False,Mishnah Bekhorot 7:6;Mishnah Bekhorot 7:6
akhan,False,Mishnah Oholot 15:7
akrvanim,False,Mishnah Eruvin 2:6
al,True,
albersia blitum,False,Mishnah Sheviit 9:1
alef,False,Mishnah Shekalim 3:2
alpha,False,Mishnah Shekalim 3:2
am ha-aretz,False,Mishnah Tevul Yom 4:5
am haaretz,False,Mishnah Demai 1:2;Mishnah Demai 1:3;Mishnah Demai 2:2;Mishnah Demai 2:2;Mishnah Demai 2:3;Mishnah Chagigah 2:7;Mishnah Horayot 3:8;Mishnah Horayot 3:8;Mishnah Demai 3:4;Mishnah Demai 3:4;Mishnah Demai 6:9;Mishnah Demai 6:9;Mishnah Demai 6:12;Mishnah Makhshirin 6:3;Mishnah Makhshirin 6:3;Mishnah Tahorot 7:1;Mishnah Tahorot 7:2;Mishnah Tahorot 7:2;Mishnah Tahorot 7:4;Mishnah Tahorot 7:5;Mishnah Tahorot 7:5;Mishnah Tahorot 8:1;Mishnah Tahorot 8:2;Mishnah Tahorot 8:2;Mishnah Tahorot 8:3;Mishnah Tahorot 8:3;Mishnah Tahorot 8:5;Mishnah Sheviit 5:9;Mishnah Maaser Sheni 3:3;Mishnah Maaser Sheni 4:6
amah,False,Mishnah Eruvin 2:5;Mishnah Eruvin 4:11;Mishnah Eruvin 5:7;Mishnah Middot 1:9;Mishnah Middot 1:9;Mishnah Middot 2:3;Mishnah Middot 2:3;Mishnah Middot 2:3;Mishnah Middot 2:3;Mishnah Middot 2:5;Mishnah Middot 2:5;Mishnah Middot 2:6;Mishnah Middot 2:6;Mishnah Middot 2:6;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:1;Mishnah Middot 3:3;Mishnah Middot 3:3;Mishnah Middot 3:3;Mishnah Middot 3:3;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:6;Mishnah Middot 3:7;Mishnah Middot 3:7;Mishnah Middot 3:7;Mishnah Middot 3:7;Mishnah Middot 4:1;Mishnah Middot 4:1;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:6;Mishnah Middot 4:7;Mishnah Kelim 17:9;Mishnah Kelim 17:9;Mishnah Kelim 17:9
amei ha-aretz,False,Mishnah Chagigah 3:4;Mishnah Chagigah 3:5
amei haaretz,False,Mishnah Tahorot 7:4;Mishnah Tahorot 10:1;Mishnah Kelim 17:5
amen,False,Mishnah Shevuot 3:11;Mishnah Shevuot 4:3;Mishnah Shevuot 5:2;Mishnah Shevuot 5:5;Mishnah Shevuot 5:5;Mishnah Shevuot 5:5;Mishnah Shevuot 5:5;Mishnah Shevuot 5:5;Mishnah Shevuot 5:5;Mishnah Shevuot 8:2;Mishnah Shevuot 8:3;Mishnah Shevuot 8:3;Mishnah Shevuot 8:3;Mishnah Shevuot 8:5;Mishnah Shevuot 8:6;Mishnah Shevuot 8:6;Mishnah Shevuot 8:6;Mishnah Shevuot 8:6
amma,False,Mishnah Middot 2:1;Mishnah Middot 2:1
