ref,letters,words,verses,gematria,gematriaHex,gematria18Hex
Genesis 1,1744,361,31,100099,#018703,#1b7e36
Genesis 2,1283,280,25,73431,#011ed7,#142b1e
Genesis 3,1347,307,24,84383,#01499f,#172d2e
Genesis 4,1260,290,26,79944,#013848,#15f510
Genesis 5,1445,317,32,109589,#01ac15,#1e197a
Genesis 6,1154,258,22,77222,#012da6,#1535ac
Genesis 7,1276,265,24,75332,#012644,#14b0c8
Genesis 8,1202,258,22,71974,#011926,#13c4ac
Genesis 9,1344,297,29,89271,#015cb7,#1884de
Genesis 10,1174,236,32,75579,#01273b,#14c226
Genesis 11,1510,332,32,110728,#01b088,#1e6990
Genesis 12,1052,231,20,67640,#010838,#1293f0
Genesis 13,932,195,18,50060,#00c38c,#0dbfd8
Genesis 14,1355,288,24,84070,#014866,#17172c
Genesis 15,999,220,21,65731,#0100c3,#120db6
Genesis 16,837,196,16,59811,#00e9a3,#106d76
Genesis 17,1430,313,27,105227,#019b0b,#1ce6c6
Genesis 18,1746,393,33,107808,#01a520,#1d9c40
Genesis 19,2239,470,38,134467,#020d43,#24eeb6
Genesis 20,1088,235,18,66389,#010355,#123bfa
Genesis 21,1669,364,34,113115,#01b9db,#1f1166
Genesis 22,1445,297,24,83749,#014725,#17009a
Genesis 23,1055,225,20,77791,#012fdf,#155dae
Genesis 24,3634,791,67,224945,#036eb1,#3dc872
Genesis 25,1610,354,34,104812,#01996c,#1cc998
Genesis 26,1891,413,35,124127,#01e4df,#2217ae
Genesis 27,2458,571,46,143483,#02307b,#2768a6
Genesis 28,1247,282,22,78901,#013435,#15abba
Genesis 29,1757,403,35,108472,#01a7b8,#1dcaf0
Genesis 30,2197,488,43,150437,#024ba5,#29519a
Genesis 31,2950,659,54,171231,#029cdf,#2f07ae
Genesis 32,1795,387,33,106336,#019f60,#1d34c0
Genesis 33,1050,220,20,63455,#00f7df,#116dae
Genesis 34,1664,344,31,107903,#01a57f,#1da2ee
Genesis 35,1470,330,29,93558,#016d76,#19b24c
Genesis 36,1920,432,43,124819,#01e793,#224856
Genesis 37,2037,421,36,113900,#01bcec,#1f4898
Genesis 38,1561,357,30,100440,#018858,#1b9630
Genesis 39,1358,298,23,77319,#012e07,#153c7e
Genesis 40,1235,271,23,90446,#01614e,#18d77c
Genesis 41,3082,665,57,224421,#036ca5,#3da39a
Genesis 42,2115,459,38,126297,#01ed59,#22b042
Genesis 43,2046,425,34,120293,#01d5e5,#210a1a
Genesis 44,1789,395,34,104406,#0197d6,#1cad0c
Genesis 45,1586,334,28,96136,#017788,#1a6790
Genesis 46,1684,357,34,100532,#0188b4,#1b9ca8
Genesis 47,2064,437,31,123013,#01e085,#21c95a
Genesis 48,1406,299,22,83032,#014458,#16ce30
Genesis 49,1462,330,33,99170,#018362,#1b3ce4
Genesis 50,1476,326,26,85652,#014e94,#178668
Exodus 1,993,204,22,63115,#00f68b,#1155c6
Exodus 2,1350,284,25,96866,#017a62,#1a9ae4
Exodus 3,1591,339,22,93702,#016e06,#19bc6c
Exodus 4,1754,391,31,100563,#0188d3,#1b9ed6
Exodus 5,1269,280,23,86208,#0150c0,#17ad80
Exodus 6,1627,352,30,113118,#01b9de,#1f119c
Exodus 7,1678,340,29,102610,#0190d2,#1c2ec4
Exodus 8,1713,366,28,104660,#0198d4,#1cbee8
Exodus 9,2018,439,35,118718,#01cfbe,#209b5c
Exodus 10,1880,408,29,112710,#01b846,#1ef4ec
Exodus 11,669,146,10,40019,#009c53,#0afdd6
Exodus 12,2958,629,51,199295,#030a7f,#36bcee
Exodus 13,1277,285,22,70380,#0112ec,#135498
Exodus 14,1930,397,31,107204,#01a2c4,#1d71c8
Exodus 15,1271,284,27,77936,#013070,#1567e0
Exodus 16,2165,467,36,139041,#021f21,#263052
Exodus 17,948,212,16,55700,#00d994,#0f4c68
Exodus 18,1576,352,27,111955,#01b553,#1ebfd6
Exodus 19,1433,313,25,83999,#01481f,#17122e
Exodus 20,1204,251,23,86389,#015175,#17ba3a
Exodus 21,1659,384,37,114151,#01bde7,#1f5a3e
Exodus 22,1342,294,30,88013,#0157cd,#182c6a
Exodus 23,1562,336,33,121379,#01da23,#215676
Exodus 24,998,220,18,61587,#00f093,#10ea56
Exodus 25,1792,399,40,150273,#024b01,#294612
Exodus 26,2033,440,37,189009,#02e251,#33e9b2
Exodus 27,1106,250,21,94228,#017014,#19e168
Exodus 28,2401,506,43,213431,#0341b7,#3a9ede
Exodus 29,2572,551,46,192128,#02ee80,#34c500
Exodus 30,1842,406,38,148448,#0243e0,#28c5c0
Exodus 31,906,189,18,69409,#010f21,#131052
Exodus 32,2107,477,35,127397,#01f1a5,#22fd9a
Exodus 33,1346,294,23,80325,#0139c5,#160fda
Exodus 34,2064,450,35,140933,#022685,#26b55a
Exodus 35,1779,354,35,133993,#020b69,#24cd62
Exodus 36,2130,459,38,178204,#02b81c,#30f1f8
Exodus 37,1464,330,29,113038,#01b98e,#1f0bfc
Exodus 38,1711,370,31,135724,#02122c,#254718
Exodus 39,2248,480,43,198581,#0307b5,#368aba
Exodus 40,1700,354,38,128304,#01f530,#233d60
Leviticus 1,998,205,17,56479,#00dc9f,#0f832e
Leviticus 2,829,175,16,59167,#00e71f,#10402e
Leviticus 3,986,195,17,59855,#00e9cf,#10708e
Leviticus 4,2078,448,35,130952,#01ff88,#23f790
Leviticus 5,1612,369,26,99573,#0184f5,#1b593a
Leviticus 6,1196,260,23,79287,#0135b7,#15c6de
Leviticus 7,1929,415,38,127458,#01f1e2,#2301e4
Leviticus 8,2191,458,36,150816,#024d20,#296c40
Leviticus 9,1304,256,24,75531,#01270b,#14bec6
Leviticus 10,1299,284,20,85941,#014fb5,#179aba
Leviticus 11,2291,485,47,142979,#022e83,#274536
Leviticus 12,443,101,8,30616,#007798,#0868b0
Leviticus 13,3368,765,59,215407,#03496f,#3b29ce
Leviticus 14,3183,675,57,213006,#03400e,#3a80fc
Leviticus 15,1744,370,33,98124,#017f4c,#1af358
Leviticus 16,2171,450,34,150786,#024d02,#296a24
Leviticus 17,1023,232,16,63154,#00f6b2,#115884
Leviticus 18,1306,291,30,109019,#01a9db,#1df166
Leviticus 19,1714,373,37,122001,#01dc91,#218232
Leviticus 20,1650,362,27,130163,#01fc73,#23c016
Leviticus 21,1121,265,24,61486,#00f02e,#10e33c
Leviticus 22,1679,366,33,103952,#019610,#1c8d20
Leviticus 23,2461,525,44,181535,#02c51f,#31dc2e
Leviticus 24,1073,241,23,77481,#012ea9,#1547e2
Leviticus 25,2797,625,55,211205,#033905,#3a025a
Leviticus 26,2490,500,46,190361,#02e799,#3448c2
Leviticus 27,1764,387,34,111412,#01b334,#1e99a8
Numbers 1,2471,540,54,186156,#02d72c,#332118
Numbers 2,1505,306,34,89485,#015d8d,#1893ea
Numbers 3,2482,521,51,181309,#02c43d,#31cc4a
Numbers 4,2681,558,49,199738,#030c3a,#36dc14
Numbers 5,1802,392,31,120356,#01d624,#210e88
Numbers 6,1367,312,27,92414,#0168fe,#1961dc
Numbers 7,4246,941,89,308410,#04b4ba,#54b514
Numbers 8,1425,304,26,93541,#016d65,#19b11a
Numbers 9,1396,298,23,82158,#0140ee,#1690bc
Numbers 10,1617,324,36,93107,#016bb3,#199296
Numbers 11,2136,481,35,128771,#01f703,#235e36
Numbers 12,752,174,16,45456,#00b190,#0c7c20
Numbers 13,1537,327,33,91731,#016653,#1931d6
Numbers 14,2511,520,45,149646,#02488e,#2919fc
Numbers 15,2036,438,41,137883,#021a9b,#25dee6
Numbers 16,1962,410,35,126697,#01eee9,#22cc62
Numbers 17,1525,338,28,99218,#018392,#1b4044
Numbers 18,2075,432,32,150259,#024af3,#294516
Numbers 19,1323,291,22,76297,#012a09,#14f4a2
Numbers 20,1629,349,29,98665,#018169,#1b1962
Numbers 21,1883,402,35,119946,#01d48a,#20f1b4
Numbers 22,2458,556,41,141413,#022865,#26d71a
Numbers 23,1464,342,30,84283,#01493b,#172626
Numbers 24,1197,273,25,70428,#01131c,#1357f8
Numbers 25,923,185,18,59811,#00e9a3,#106d76
Numbers 26,3002,619,65,233007,#038e2f,#3fff4e
Numbers 27,1256,262,23,80379,#0139fb,#1613a6
Numbers 28,1448,325,31,108642,#01a862,#1dd6e4
Numbers 29,1871,392,39,136106,#0213aa,#2561f4
Numbers 30,988,210,17,63993,#00f9f9,#119382
Numbers 31,2713,561,54,183241,#02cbc9,#325422
Numbers 32,2251,470,42,138296,#021c38,#25fbf0
Numbers 33,2024,417,56,127321,#01f159,#22f842
Numbers 34,1218,263,29,67069,#0105fd,#126bca
Numbers 35,1839,415,34,129106,#01f852,#2375c4
Numbers 36,879,189,13,58548,#00e4b4,#1014a8
Deuteronomy 1,2677,585,46,174378,#02a92a,#2fe4f4
Deuteronomy 2,2081,453,37,141247,#0227bf,#26cb6e
Deuteronomy 3,1814,392,29,119603,#01d333,#20d996
Deuteronomy 4,3273,712,49,228199,#037b67,#3ead3e
Deuteronomy 5,1862,412,30,123809,#01e3a1,#220152
Deuteronomy 6,1333,280,25,89767,#015ea7,#18a7be
Deuteronomy 7,1703,355,26,111057,#01b1d1,#1e80b2
Deuteronomy 8,1192,258,20,79988,#013874,#15f828
Deuteronomy 9,2030,442,29,141237,#0227b5,#26caba
Deuteronomy 10,1290,286,22,84134,#0148a6,#171bac
