ref,type
Zevachim 2a:1-5,Mishnah
Zevachim 2a:6-2b:2,Sugya
Zevachim 2b:3-3a:7,Sugya
Zevachim 3a:8-10,Sugya
Zevachim 3a:11-3b:8,Sugya
Zevachim 3b:9-13,Sugya
Zevachim 3b:14-19,Sugya
Zevachim 4a:1-16,Sugya
Zevachim 4a:17-4b:22,Sugya
Zevachim 4b:23-5a:1,Sugya
Zevachim 5a:2-5b:7,Sugya
Zevachim 5b:8-14,Sugya
Zevachim 5b:15-6a:7,Sugya
Zevachim 6a:8-11,Sugya
Zevachim 6a:12-7a:4,Sugya
Zevachim 7a:5-11,Sugya
Zevachim 7a:12-13,Sugya
Zevachim 7a:14-15,Sugya
Zevachim 7a:16,Sugya
Zevachim 7a:17-7b:1,Sugya
Zevachim 7b:2-3,Sugya
Zevachim 7b:4-6,Sugya
Zevachim 7b:7-9,Sugya
Zevachim 7b:10-24,Sugya
Zevachim 7b:25-8b:2,Sugya
Zevachim 8b:3-9b:3,Sugya
Zevachim 9b:4-15,Sugya
Zevachim 9b:16-24,Sugya
Zevachim 9b:25-10a:16,Sugya
Zevachim 10a:17-10b:5,Sugya
Zevachim 10b:6-17,Sugya
Zevachim 10b:18-31,Sugya
Zevachim 10b:32-11a:11,Sugya
Zevachim 11a:12-19,Sugya
Zevachim 11a:20-11b:3,Sugya
Zevachim 11b:4-7,Sugya
Zevachim 11b:8-15,Sugya
Zevachim 11b:16-17,Mishnah
Zevachim 11b:18-12a:15,Sugya
Zevachim 12a:16-12b:1,Sugya
Zevachim 12b:2-7,Sugya
Zevachim 12b:8,Sugya
Zevachim 12b:9-13a:4,Sugya
Zevachim 13a:5-9,Mishnah
Zevachim 13a:10-13b:4,Sugya
Zevachim 13b:5-14a:5,Sugya
Zevachim 14a:6-18,Sugya
Zevachim 14a:19-14b:13,Sugya
Zevachim 14b:14-15a:9,Sugya
Zevachim 15a:10-15,Sugya
Zevachim 15a:16-15b:8,Sugya
Zevachim 15b:9-10,Mishnah
Zevachim 15b:11-16a:13,Sugya
Zevachim 16a:14-16b:12,Sugya
Zevachim 16b:13-17a:1,Sugya
Zevachim 17a:2-5,Sugya
Zevachim 17a:6-17b:5,Sugya
Zevachim 17b:6-18a:10,Sugya
Zevachim 18a:11-18b:6,Sugya
Zevachim 18b:7-12,Sugya
Zevachim 18b:13-19a:2,Sugya
Zevachim 19a:3-11,Sugya
Zevachim 19a:12-19b:1,Sugya
Zevachim 19b:2,Sugya
Zevachim 19b:3-11,Sugya
Zevachim 19b:12-15,Sugya
Zevachim 19b:16-20a:1,Sugya
Zevachim 20a:2-12,Sugya
Zevachim 20a:13-20b:3,Sugya
Zevachim 20b:4-13,Sugya
Zevachim 20b:14-21a:2,Sugya
Zevachim 21a:3-5,Sugya
Zevachim 21a:6-21b:11,Sugya
Zevachim 21b:12-22a:8,Sugya
Zevachim 22a:9-13,Sugya
Zevachim 22a:14-22b:2,Sugya
Zevachim 22b:3-6,Sugya
Zevachim 22b:7-23b:7,Sugya
Zevachim 23b:8-24a:2,Sugya
Zevachim 24a:3-9,Sugya
Zevachim 24a:10-24b:3,Sugya
Zevachim 24b:4-25a:4,Sugya
Zevachim 25a:5,Mishnah
Zevachim 25a:6-8,Sugya
Zevachim 25a:9-25b:1,Sugya
Zevachim 25b:2-12,Sugya
Zevachim 25b:13-19,Sugya
Zevachim 25b:20-26a:11,Sugya
Zevachim 26a:12-21,Sugya
Zevachim 26a:22,Mishnah
Zevachim 26b:1-27a:7,Sugya
Zevachim 27a:8-27b:8,Sugya
Zevachim 27b:9-13,Sugya
Zevachim 27b:14-15,Mishnah
Zevachim 27b:16-28a:14,Sugya
Zevachim 28a:15-29a:7,Sugya
Zevachim 29a:8-29b:5,Sugya
Zevachim 29b:6-9,Sugya
Zevachim 29b:10-15,Mishnah
Zevachim 29b:16-30a:2,Sugya
Zevachim 30a:3-30b:6,Sugya
Zevachim 30b:7-31a:2,Sugya
