ref,type
Bava Metzia 43a:2,Mishnah
Bava Metzia 43a:3,Sugya
Bava Metzia 43a:4-8,Sugya
Bava Metzia 43a:9,Mishnah
Bava Metzia 43a:10-43b:7,Sugya
Bava Metzia 43b:8-12,Sugya
Bava Metzia 43b:13,Mishnah
Bava Metzia 44a:1-2,Sugya
Bava Metzia 44a:3,Sugya
Bava Metzia 44a:4-6,Sugya
Bava Metzia 44a:8-13,Mishnah
Bava Metzia 44a:14-44b:4,Sugya
Bava Metzia 44b:5-9,Sugya
Bava Metzia 44b:10-45a:5,Sugya
Bava Metzia 45a:6-45b:3,Sugya
Bava Metzia 45b:4-46b:12,Sugya
Bava Metzia 46b:13-47a:9,Sugya
Bava Metzia 47a:10-15,Sugya
Bava Metzia 47a:16-47b:2,Sugya
Bava Metzia 47b:3-5,Sugya
Bava Metzia 47b:6-48a:3,Sugya
Bava Metzia 48a:4-48b:1,Sugya
Bava Metzia 48b:2-5,Sugya
Bava Metzia 48b:6-49a:3,Sugya
Bava Metzia 49a:4-49b:1,Sugya
Bava Metzia 49b:2-4,Sugya
Bava Metzia 49b:5-6,Mishnah
Bava Metzia 49b:7-50a:1,Sugya
Bava Metzia 50a:2-50b:4,Sugya
Bava Metzia 50b:5-9,Sugya
Bava Metzia 50b:10-51a:5,Sugya
Bava Metzia 51a:6-8,Sugya
Bava Metzia 51a:9,Mishnah
Bava Metzia 51a:10-12,Sugya
Bava Metzia 51a:13-15,Sugya
Bava Metzia 51a:16-19,Sugya
Bava Metzia 51a:20-51b:10,Sugya
Bava Metzia 51b:11-52a:3,Mishnah
Bava Metzia 52a:4-7,Sugya
Bava Metzia 52a:8-13,Sugya
Bava Metzia 52a:14-52b:4,Sugya
Bava Metzia 52b:5-9,Sugya
Bava Metzia 52b:10-14,Sugya
Bava Metzia 52b:15-53b:7,Sugya
Bava Metzia 53b:8-10,Sugya
Bava Metzia 53b:11-54a:3,Sugya
Bava Metzia 54a:4-14,Sugya
Bava Metzia 54a:15-54b:1,Sugya
Bava Metzia 54b:2-7,Sugya
Bava Metzia 54b:8-55a:6,Sugya
Bava Metzia 55a:7-8,Mishnah
Bava Metzia 55a:9-10,Sugya
Bava Metzia 55a:11-18,Sugya
Bava Metzia 55a:19-55b:2,Sugya
Bava Metzia 55b:3,Mishnah
Bava Metzia 55b:4-56a:11,Sugya
Bava Metzia 56a:12-56b:1,Mishnah
Bava Metzia 56b:2-7,Sugya
Bava Metzia 56b:8-57a:1,Sugya
Bava Metzia 57a:2-57b:4,Sugya
Bava Metzia 57b:5-7,Sugya
Bava Metzia 57b:8-17,Sugya
Bava Metzia 57b:18-58a:7,Sugya
Bava Metzia 58a:8-11,Sugya
Bava Metzia 58a:12-58b:2,Sugya
Bava Metzia 58b:3-5,Sugya
Bava Metzia 58b:6,Mishnah
Bava Metzia 58b:7-59a:3,Sugya
Bava Metzia 59a:4-11,Sugya
Bava Metzia 59a:12-59b:11,Sugya
Bava Metzia 59b:12-15,Sugya
Bava Metzia 59b:16-60a:4,Mishnah
Bava Metzia 60a:5-12,Sugya
Bava Metzia 60a:13-14,Mishnah
Bava Metzia 60a:15-60b:6,Sugya
Bava Metzia 60b:8-11,Mishnah
Bava Metzia 60b:12-61a:6,Sugya
Bava Metzia 61a:7-61b:5,Sugya
Bava Metzia 61b:6-11,Sugya
Bava Metzia 61b:12-62a:12,Sugya
Bava Metzia 62a:13-62b:3,Sugya
Bava Metzia 62b:4-63b:5,Sugya
Bava Metzia 63b:6-9,Sugya
Bava Metzia 63b:10-64a:3,Sugya
Bava Metzia 64a:4-10,Sugya
Bava Metzia 64a:11-64b:1,Sugya
Bava Metzia 64b:2,Mishnah
Bava Metzia 64b:3-65a:2,Sugya
Bava Metzia 65a:3-6,Sugya
Bava Metzia 65a:7-65b:2,Mishnah
Bava Metzia 65b:3-7,Sugya
Bava Metzia 65b:8-11,Sugya
Bava Metzia 65b:12-66a:4,Sugya
Bava Metzia 66a:5-6,Sugya
Bava Metzia 66a:7-66b:11,Sugya
Bava Metzia 66b:12-16,Sugya
Bava Metzia 66b:17-67a:4,Sugya
Bava Metzia 67a:5-67b:1,Sugya
Bava Metzia 67b:2-8,Sugya
Bava Metzia 67b:9-68a:10,Sugya
Bava Metzia 68a:11-13,Mishnah
Bava Metzia 68a:14-68b:3,Sugya
Bava Metzia 68b:4-69a:3,Sugya
Bava Metzia 69a:4-69b:3,Sugya
Bava Metzia 69b:4-6,Sugya
Bava Metzia 69b:7-8,Mishnah
Bava Metzia 69b:9-70a:1,Sugya
Bava Metzia 70a:2-9,Sugya
Bava Metzia 70b:1-2,Mishnah
Bava Metzia 70b:3-8,Sugya
Bava Metzia 70b:9-71a:7,Sugya
Bava Metzia 71a:8-71b:3,Sugya
Bava Metzia 71b:4-72a:2,Sugya
Bava Metzia 72a:3-5,Sugya
Bava Metzia 72a:6-72b:5,Sugya
Bava Metzia 72b:6-9,Mishnah
Bava Metzia 72b:10-11,Sugya
Bava Metzia 72b:12-74a:1,Sugya
Bava Metzia 74a:2-5,Sugya
Bava Metzia 74a:6-13,Sugya
Bava Metzia 74a:14-15,Sugya
Bava Metzia 74a:16-74b:1,Sugya
Bava Metzia 74b:2-10,Sugya
Bava Metzia 74b:11,Mishnah
Bava Metzia 74b:12-14,Sugya
Bava Metzia 74b:15-75a:2,Sugya
Bava Metzia 75a:3,Mishnah
Bava Metzia 75a:4-5,Sugya
Bava Metzia 75a:6,Sugya
Bava Metzia 75a:7-10,Sugya
Bava Metzia 75a:11-75b:4,Mishnah
Bava Metzia 75b:5,Sugya
Bava Metzia 75b:6-7,Sugya
Bava Metzia 75b:8-9,Sugya
Bava Metzia 75b:10-13,Sugya
Bava Metzia 75b:15-76a:1,Mishnah
Bava Metzia 76a:2-9,Sugya
Bava Metzia 76a:10-76b:2,Sugya
Bava Metzia 76b:3-77a:5,Sugya
Bava Metzia 77a:6-10,Sugya
Bava Metzia 77a:11-77b:11,Sugya
Bava Metzia 77b:12-18,Sugya
Bava Metzia 77b:19-78a:2,Sugya
Bava Metzia 78a:3-4,Sugya
Bava Metzia 78a:5-6,Mishnah
Bava Metzia 78a:7-78b:10,Sugya
Bava Metzia 78b:11-12,Sugya
Bava Metzia 78b:13-79a:14,Sugya
Bava Metzia 79a:15-79b:11,Sugya
Bava Metzia 80a:1,Mishnah
Bava Metzia 80a:2,Sugya
Bava Metzia 80a:3-5,Sugya
Bava Metzia 80a:6,Mishnah
Bava Metzia 80a:7-80b:1,Sugya
Bava Metzia 80b:2-3,Sugya
Bava Metzia 80b:4,Sugya
Bava Metzia 80b:5-6,Mishnah
Bava Metzia 80b:7-11,Sugya
Bava Metzia 80b:12-81a:5,Sugya
Bava Metzia 81a:6-11,Sugya
Bava Metzia 81a:12-81b:5,Sugya
Bava Metzia 81b:6-10,Sugya
Bava Metzia 81b:11-82b:1,Sugya
Bava Metzia 82b:2,Sugya
Bava Metzia 82b:3,Mishnah
Bava Metzia 82b:4-83a:10,Sugya
Bava Metzia 83a:12-14,Mishnah
Bava Metzia 83a:15,Sugya
Bava Metzia 83a:16-84a:2,Sugya
Bava Metzia 84a:3-18,Sugya
