ref,type
Sotah 44b:6-8,Sugya
Sotah 44b:10-12,Mishnah
Sotah 44b:13-45a:2,Sugya
Sotah 45a:3-9,Sugya
Sotah 45a:10-45b:4,Sugya
Sotah 45b:5-6,Sugya
Sotah 45b:7-9,Sugya
Sotah 45b:10,Mishnah
Sotah 45b:11-12,Sugya
Sotah 45b:13-14,Sugya
Sotah 45b:15-18,Sugya
Sotah 45b:19-46a:1,Mishnah
Sotah 46a:2-10,Sugya
Sotah 46a:11-46b:1,Sugya
Sotah 46b:2,Sugya
Sotah 46b:3-4,Sugya
Sotah 46b:5-7,Sugya
Sotah 46b:8-47a:4,Sugya
Sotah 47a:5-15,Sugya
Sotah 47a:16-47b:1,Mishnah
Sotah 47b:2-11,Sugya
Sotah 47b:12-16,Sugya
Sotah 47b:17-22,Sugya
Sotah 47b:23-48a:6,Sugya
Sotah 48a:7-11,Sugya
Sotah 48a:12-14,Mishnah
Sotah 48a:15-48b:1,Sugya
Sotah 48b:2-9,Sugya
Sotah 48b:10-14,Sugya
Sotah 48b:15-18,Sugya
Sotah 48b:19-49a:1,Sugya
Sotah 49a:2-6,Sugya
Sotah 49a:7-8,Sugya
Sotah 49a:9-11,Sugya
Sotah 49a:12-49b:3,Mishnah
Sotah 49b:4-7,Sugya
Sotah 49b:8-14,Sugya
Sotah 49b:15-19,Sugya
