ref,type
Shevuot 42b:16-19,Sugya
Shevuot 42b:20-43a:2,Sugya
Shevuot 43a:3,Sugya
Shevuot 43a:4-5,Sugya
Shevuot 43a:6-16,Sugya
Shevuot 43a:17-20,Mishnah
Shevuot 43b:1-4,Sugya
Shevuot 43b:5-44b:2,Sugya
Shevuot 44b:3-6,Sugya
Shevuot 44b:8-45a:10,Mishnah
Shevuot 45a:11,Sugya
Shevuot 45a:12-45b:4,Sugya
Shevuot 45b:5-7,Sugya
Shevuot 45b:8-11,Sugya
Shevuot 45b:12-46a:1,Sugya
Shevuot 46a:2-13,Sugya
Shevuot 46a:14-15,Sugya
Shevuot 46a:16-46b:5,Sugya
Shevuot 46b:6-7,Sugya
Shevuot 46b:8-47a:1,Sugya
Shevuot 47a:2,Sugya
Shevuot 47a:3-4,Sugya
Shevuot 47a:5-47b:6,Sugya
Shevuot 47b:7-9,Sugya
Shevuot 47b:10-48a:2,Sugya
Shevuot 48a:3-5,Sugya
Shevuot 48a:6-48b:3,Sugya
Shevuot 48b:4-9,Sugya
Shevuot 48b:10-14,Sugya
Shevuot 48b:15-49a:1,Sugya
Shevuot 49a:2,Sugya
Shevuot 49a:4-49b:5,Mishnah
Shevuot 49b:6-8,Sugya
Shevuot 49b:9-15,Sugya
