citing_ref,non_segment_ref,num_segments,num_dicta_candidates,candidate_ref,citation_is_section_level,dicta_score,phrase_distance,candidate_text_words,confirm_method,confirmed
"Midrash Tanchuma, Vayechi 14:1",Proverbs 3,35,1,Proverbs 3:32,True,2.7,63,6,llm,yes
"Midrash Tanchuma, Vayechi 14:1",Amos 3,15,2,Amos 3:7,True,11.0,84,11,llm,yes
"Tzafnat Pa'neach on Mishneh Torah, Vows 13:11:1",Nedarim 70,17,1,Nedarim 70a:4,True,4.0,60,55,llm,yes
"Tzafnat Pa'neach on Mishneh Torah, Vows 13:11:1",Nedarim 69a,6,1,Nedarim 69a:5,True,4.0,10,11,llm,yes
"Tzafnat Pa'neach on Mishneh Torah, Vows 13:11:1",Zevachim 99a,20,1,Zevachim 99a:14,True,5.0,5,19,llm,yes
Rashi on Keritot 6a:20:2,Rosh Hashanah 7a,21,1,Rosh Hashanah 7a:17,True,7.0,14,32,llm,yes
Mareh HaPanim on Jerusalem Talmud Sanhedrin 7:11:2:1,Mishnah Keritot,43,1,Mishnah Keritot 1:1,False,2.1,94,98,llm,yes
"Gan Naul, House III 5:13:3",Pesachim 56a,13,2,Pesachim 56a:3,True,6.0,103,31,llm,yes
"Ayin Zokher, Letter Vav 31",Ketubot 7b,12,2,Ketubot 7b:6,True,13.0,54,36,high_score,yes
"Tzafnat Pa'neach on Mishneh Torah, Vows 13:11:1",Makkot 11b,15,2,Makkot 11b:6,True,4.0,372,47,llm,yes
"Noda BiYehudah II, Choshen Mishpat 60:8",Sanhedrin 76a,27,4,Sanhedrin 76a:16,True,4.0,63,14,llm,yes
"Toldot Yaakov Yosef, Shoftim 161",Chagigah 13b-14a,32,2,Chagigah 14a:1,True,2.7,9,18,llm,yes
Mishnat Eretz Yisrael on Mishnah Negaim 14:11:9,Tosefta Negaim,98,1,Tosefta Negaim 9:6,False,37.0,13,38,high_score,yes
Notes by Rabbi Yehoshua Hartman on Tiferet Yisrael 24:84,Ketubot 111b,23,1,Ketubot 111b:8,True,20.0,173,36,llm,yes
"Zohar, Tazria 14:55",Job 38,41,1,Job 38:7,True,8.0,70,6,llm,yes
"Peninei Halakhah, Prayer 15:1:4",Berakhot 13a,37,2,Berakhot 13a:21,True,15.0,2,45,high_score,yes
Mareh HaPanim on Jerusalem Talmud Sanhedrin 7:11:2:1,Mishnah Keritot,43,7,Mishnah Keritot 1:1,False,2.1,501,98,llm,yes
"Responsa Chatam Sofer, Orach Chayim 208:13",Ezekiel,1273,6,Ezekiel 7:26,False,1.2,129,14,llm,yes
Notes by Rabbi Yehoshua Hartman on Gevurot Hashem 41:110,Gevurot Hashem,1732,1,Gevurot Hashem 41:16,False,4.0,60,196,llm,no
Noam Yerushalmi on Maasrot 4:1:5:4,Jerusalem Talmud Maasrot,186,6,Jerusalem Talmud Maasrot 5:3:5,False,18.0,2,44,high_score,yes
"Ayin Zokher, Letter Vav 31",Shita Mekubetzet on Ketubot 7b,17,2,Shita Mekubetzet on Ketubot 7b:6,True,5.0,210,93,llm,yes
Rif Ketubot 38b:5,Ketubot 80a,13,2,Ketubot 80a:6,True,17.0,273,26,llm,yes
"Be'er HaGolah on Shulchan Arukh, Choshen Mishpat 348:21",Bava Metzia 10b,18,3,Bava Metzia 10b:14,True,4.0,37,26,llm,yes
Kisse Rahamim on Tractate Soferim 1:14:4,Tractate Soferim,227,1,Tractate Soferim 12:8,False,7.0,152,62,llm,yes
Kisse Rahamim on Tractate Soferim 1:14:4,Tractate Soferim 12,12,1,Tractate Soferim 12:8,True,7.0,27,62,llm,yes
Rashba on Shabbat 25a:1,Pesachim 46a,14,1,Pesachim 46a:14,True,5.0,32,17,llm,yes
Harchev Davar on Genesis 48:22,Jerusalem Talmud Berakhot 4:4,11,2,Jerusalem Talmud Berakhot 4:4:9,True,14.0,1,62,high_score,yes
Chidushei Agadot on Sotah 47a:3,Horayot 9b:11-14a:7,171,1,Horayot 10b:18,False,4.0,14,45,llm,yes
Mareh HaPanim on Jerusalem Talmud Eruvin 1:6:3:1,Eruvin 5,26,20,Eruvin 5a:13,True,9.0,109,40,llm,yes
"Torah Temimah on Torah, Numbers 6:11:2",Horayot 10b,19,1,Horayot 10b:5,True,4.0,12,37,llm,yes
"Torah Temimah on Torah, Numbers 6:11:2",Jeremiah 22,30,3,Jeremiah 22:15,True,10.0,9,15,high_score,yes
"Torah Temimah on Torah, Numbers 6:11:2",Nedarim 10a,14,1,Nedarim 10a:9,True,2.3,199,54,llm,no
Mareh HaPanim on Jerusalem Talmud Eruvin 1:6:3:1,Eruvin 15,42,3,Eruvin 15a:1,True,2.1,4,13,llm,yes
Harchev Davar on Genesis 48:22,Sanhedrin 44b,14,1,Sanhedrin 44b:7,True,4.0,1,59,llm,no
Penei Moshe on Jerusalem Talmud Berakhot 1:1:35:1,Mishnah Sheviit 9,9,1,Mishnah Sheviit 9:1,True,2.2,28,52,llm,yes
Harchev Davar on Genesis 48:22,Bava Batra 123,33,1,Bava Batra 123a:6,True,5.0,1,38,llm,yes
Harchev Davar on Genesis 48:22,Berakhot 31,55,5,Berakhot 31a:25,True,17.0,1,42,high_score,yes
Notes by Rabbi Yehoshua Hartman on Ohr Chadash 9:27:10,Rashi on Megillah,1408,1,Rashi on Megillah 7a:12:1,False,12.0,7,16,high_score,yes
"Guide for the Perplexed, Part 2 41:1",Daniel,357,11,Daniel 10:16,False,4.0,210,19,llm,yes
"Rosh David, Devarim 4",Bava Kamma 60,45,2,Bava Kamma 60b:14,True,2.5,17,24,llm,yes
Mesillat Yesharim 20:14,Yevamot 65b,18,1,Yevamot 65b:6,True,9.0,70,38,llm,yes
"Zohar, Vayakhel 1:7",Exodus 25,40,2,Exodus 25:2,True,7.0,33,12,llm,yes
Ran on Chullin 23b:5,Jeremiah 48,47,1,Jeremiah 48:11,True,5.0,72,20,llm,yes
"Seder HaDorot, Tanaim and Amoraim 458:1",Chullin 90b,21,1,Chullin 90b:21,True,4.0,5,17,llm,yes
"Seder HaDorot, Tanaim and Amoraim 458:1",Eruvin 100b,30,1,Eruvin 100b:15,True,4.0,43,28,llm,yes
Tosefta Kifshutah on Shabbat 10:1:1,Shabbat 97b,13,7,Shabbat 97b:13,True,9.0,26,14,high_score,yes
"Pardes Yosef, Leviticus 26:8:1",Psalms,2527,2,Psalms 18:44,False,2.3,71,9,llm,yes
Harchev Davar on Genesis 48:22,Daniel,357,38,Daniel 6:11,False,7.0,157,29,llm,yes
"Pardes Yosef, Leviticus 26:8:1",Moed Katan 16b,29,3,Moed Katan 16b:28,True,8.0,369,8,llm,yes
"Ohr Sameach on Mishneh Torah, Rest on a Holiday 3:8:4",Tosafot on Beitzah 3,5,1,Tosafot on Beitzah 3a:1:1,False,7.0,629,500,llm,yes
Parashat Derakhim 19:32,Yoma 17b,6,4,Yoma 17b:4,True,22.0,3,36,high_score,yes
Ben Yehoyada on Shabbat 30b:13,Sanhedrin 100,33,2,Sanhedrin 100a:8,True,4.0,28,63,llm,yes
Parashat Derakhim 19:32,Yoma 17b,6,4,Yoma 17b:5,True,14.0,90,41,llm,no
Notes by Rabbi Yehoshua Hartman on Ohr Chadash 4:17:11,Beitzah 25b,16,2,Beitzah 25b:7,True,5.0,291,51,llm,yes
Notes by Rabbi Yehoshua Hartman on Tiferet Yisrael 7:13,Shabbat 22b,8,1,Shabbat 22b:2,True,16.0,108,72,llm,yes
Mareh HaPanim on Jerusalem Talmud Sotah 3:8:7:1,Kiddushin 18,26,4,Kiddushin 18a:8,True,2.2,76,28,llm,yes
Ben Yehoyada on Nedarim 20a:3,Kiddushin 71a,15,1,Kiddushin 71a:2,True,2.7,2,31,llm,yes
"Maggid Mishneh on Mishneh Torah, Creditor and Debtor 23:5:1",Bava Batra 167,24,2,Bava Batra 167b:1,True,8.0,21,21,high_score,yes
"Talks of Yeshayahu Leibowitz on the Parasha, Shemot 4:5",Proverbs,915,1,Proverbs 7:4,False,4.0,70,7,llm,yes
"Arukh HaShulchan HeAtid, Laws of Zeraim 64:8",Gittin 65b,16,2,Gittin 65b:4,True,8.0,12,21,high_score,yes
"Sefer HeArukh, Letter Mem 60",Shabbat 65,27,3,Shabbat 65a:12,True,4.0,2,36,llm,yes
"Sources and References on Likkutei Torah, Ki Tavo 41:66",Rosh Hashanah 18a,17,3,Rosh Hashanah 18a:12,True,4.0,20,53,llm,yes
Likutei Moharan 7:7:10,Psalms 89,53,1,Psalms 89:9,True,2.4,2,7,llm,yes
"Tzror HaMor on Torah, Genesis 19:30:1",Horayot 9b:11-14a:7,171,17,Horayot 11a:2,False,20.0,223,26,llm,yes
Mevo HaTalmud (Chajes) 33:3,Temurah 14b,22,1,Temurah 14b:2,True,5.0,11,29,llm,yes
Rashash on Beitzah 36b:4,Moed Katan 8b,12,1,Moed Katan 8b:7,True,4.0,87,21,llm,yes
Rif Makkot 4a:2,Nazir 58a,12,4,Nazir 58a:5,True,6.0,230,19,llm,yes
Tosafot Yom Tov on Mishnah Shabbat 22:3:1,Shabbat 105a:9-107a:4,42,3,Shabbat 107a:3,False,8.0,9,97,high_score,yes
Rif Makkot 4a:2,Nazir 57b,8,14,Nazir 57b:5,True,24.0,237,39,llm,yes
"HaElef Lekha Shlomo, Orach Chayim 206:1",Pesachim 21a:8-42a:14,597,12,Pesachim 21a:10,False,7.0,13,18,llm,yes
Melekhet Shelomoh on Mishnah Nedarim 2:4:1,Nedarim 60a:4-63b:9,72,1,Nedarim 63a:8,False,4.0,452,34,llm,no
Chiddushei Rabbi Akiva Eiger on Gittin 73b:1,Kiddushin 78a,22,8,Kiddushin 78a:7,True,4.0,29,41,llm,yes
"Mishneh LaMelech on Mishneh Torah, Inheritances 5:8:1",Bekhorot 46a:5-52b:18,191,4,Bekhorot 52a:1,False,4.0,381,16,llm,yes
Tosefta Kifshutah on Pesachim 3:19:2,Pesachim 56a,13,3,Pesachim 56a:4,True,2.2,603,52,llm,yes
Shoel uMeshiv Mahadura II 3:102:12,Avodah Zarah 47,40,1,Avodah Zarah 47a:3,True,8.0,21,16,high_score,yes
Melekhet Shelomoh on Mishnah Nedarim 2:4:1,Mishnah Tahorot 4,13,1,Mishnah Tahorot 4:12,True,2.1,11,40,llm,yes
"Beur HaGra on Shulchan Arukh, Orach Chayim 688:1:2",Jerusalem Talmud Megillah 1:1,12,4,Jerusalem Talmud Megillah 1:1:5,True,8.0,174,80,llm,yes
"Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing 5:6:1",Berakhot 5b,27,2,Berakhot 5b:21,True,16.0,2,71,high_score,yes
"Beit Yosef, Orach Chayim 178:4:1",Pesachim 102a,8,2,Pesachim 102a:7,True,2.3,22,16,llm,no
Lechem Shamayim on Mishnah Pesachim 6:5:2,Keritot 19b,20,1,Keritot 19b:17,True,6.0,19,13,llm,yes
"Ra'avad on Sifra, Tzav, Mekhilta DeMiluim I 9:1",Horayot 11b,18,1,Horayot 11b:9,True,6.0,13,61,llm,yes
Shoel uMeshiv Mahadura II 3:102:12,Avodah Zarah 34,24,1,Avodah Zarah 34b:14,True,4.0,514,18,llm,yes
Malbim on Ezekiel 45:18:1,Menachot 45,47,7,Menachot 45a:13,True,4.0,214,29,llm,yes
"Menorat HaMaor, iv; On Humility, Great is Humility 1",Zevachim 98b:6-106a:8,280,1,Zevachim 102a:18,False,31.0,1,41,high_score,yes
"Od Yosef Chai; Halakhot, Tetzaveh 5:1",Ketubot 28,30,2,Ketubot 28a:1,True,7.0,14,21,llm,yes
Shoel uMeshiv Mahadura II 3:102:12,Tosafot on Avodah Zarah 47,13,2,Tosafot on Avodah Zarah 47a:3:1,False,8.0,190,73,llm,yes
Melekhet Shelomoh on Mishnah Nedarim 2:4:1,Mishnah Nedarim,90,5,Mishnah Nedarim 2:4,False,14.0,196,105,llm,yes
"Otzar Midrashim, Chuppah of Eliyahu, Chuppat Eliyahu Rabbah 254",Proverbs 19,29,1,Proverbs 19:13,True,1.5,123,8,llm,yes
"Shenei Luchot HaBerit, Torah Shebikhtav, Introduction 9",Pesachim 50b,12,1,Pesachim 50b:5,True,7.0,73,45,llm,yes
"Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing 5:6:1",Berakhot 10b,41,2,Berakhot 10b:27,True,7.0,2,36,llm,yes
"Otzar Midrashim, Chuppah of Eliyahu, Chuppat Eliyahu Rabbah 254",Bava Batra 10a,16,4,Bava Batra 10a:12,True,43.0,62,91,llm,yes
