Exodus 2:16,ולכהן מדין שבע בנות ותבאנה ותדלנה ותמלאנה את־הרהטים להשקות צאן אביהן,306.35,324.91,16,11,17.44,1.59
Exodus 2:17,ויבאו הרעים ויגרשום ויקם משה ויושען וישק את־צאנם,324.91,339.92,17,8,13.86,1.73
Exodus 2:18,ותבאנה אל־רעואל אביהן ויאמר מדוע מהרתן בא היום,339.92,357.32,18,8,16.25,2.03
Exodus 2:19,ותאמרן איש מצרי הצילנו מיד הרעים וגם־דלה דלה לנו וישק את־הצאן,357.32,376.65,19,11,18.15,1.65
Exodus 2:20,ויאמר אל־בנתיו ואיו למה זה עזבתן את־האיש קראן לו ויאכל לחם,376.65,392.67,20,11,14.84,1.35
Exodus 2:21,ויואל משה לשבת את־האיש ויתן את־צפרה בתו למשה,392.67,405.76,21,8,11.89,1.49
Exodus 2:22,ותלד בן ויקרא את־שמו גרשם כי אמר גר הייתי בארץ נכריה,405.76,422.01,22,11,15.06,1.37
Exodus 2:23,ויהי בימים הרבים ההם וימת מלך מצרים ויאנחו בני־ישראל מן־העבדה ויזעקו ותעל שועתם אל־האלהים מן־העבדה,422.01,456.19,23,15,33.01,2.2
Exodus 2:24,וישמע אלהים את־נאקתם ויזכר אלהים את־בריתו את־אברהם את־יצחק ואת־יעקב,456.19,472.55,24,9,15.22,1.69
Exodus 2:25,וירא אלהים את־בני ישראל וידע אלהים,472.55,1.15,25,6,8.09999999999997,1.35
Exodus 3:1,ומשה היה רעה את־צאן יתרו חתנו כהן מדין וינהג את־הצאן אחר המדבר ויבא אל־הר האלהים חרבה,1.15,24.4,1,16,22.09,1.38
Exodus 3:2,וירא מלאך יהוה אליו בלבת־אש מתוך הסנה וירא והנה הסנה בער באש והסנה איננו אכל,24.4,49.27,2,15,23.66,1.58
Exodus 3:3,ויאמר משה אסרה־נא ואראה את־המראה הגדל הזה מדוע לא־יבער הסנה,49.27,66.63,3,10,16.16,1.62
Exodus 3:4,וירא יהוה כי סר לראות ויקרא אליו אלהים מתוך הסנה ויאמר משה משה ויאמר הנני,66.63,91.61,4,15,23.83,1.59
Exodus 3:5,ויאמר אל־תקרב הלם של־נעליך מעל רגליך כי המקום אשר אתה עומד עליו אדמת־קדש הוא,91.61,112.37,5,14,19.61,1.4
Exodus 3:6,ויאמר אנכי אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ויסתר משה פניו כי ירא מהביט אל־האלהים,112.37,139.13,6,17,25.6,1.51
Exodus 3:7,ויאמר יהוה ראה ראיתי את־עני עמי אשר במצרים ואת־צעקתם שמעתי מפני נגשיו כי ידעתי את־מכאביו,139.13,164.4,7,15,24.06,1.6
Exodus 3:8,וארד להצילו מיד מצרים ולהעלתו מן־הארץ ההוא אל־ארץ טובה ורחבה אל־ארץ זבת חלב ודבש אל־מקום הכנעני והחתי והאמרי והפרזי והחוי והיבוסי,164.4,207.04,8,21,41.51,1.98
Exodus 3:9,ועתה הנה צעקת בני־ישראל באה אלי וגם־ראיתי את־הלחץ אשר מצרים לחצים אתם,207.04,228.8,9,12,20.61,1.72
Exodus 3:10,ועתה לכה ואשלחך אל־פרעה והוצא את־עמי בני־ישראל ממצרים,228.8,244.45,10,8,14.56,1.82
Exodus 3:11,ויאמר משה אל־האלהים מי אנכי כי אלך אל־פרעה וכי אוציא את־בני ישראל ממצרים,244.45,263.24,11,13,17.65,1.36
Exodus 3:12,ויאמר כי־אהיה עמך וזה־לך האות כי אנכי שלחתיך בהוציאך את־העם ממצרים תעבדון את־האלהים על ההר הזה,263.24,290.62,12,16,26.2,1.64
Exodus 3:13,ויאמר משה אל־האלהים הנה אנכי בא אל־בני ישראל ואמרתי להם אלהי אבותיכם שלחני אליכם ואמרו־לי מה־שמו מה אמר אלהם,290.62,323.59,13,19,31.86,1.68
Exodus 3:14,ויאמר אלהים אל־משה אהיה אשר אהיה ויאמר כה תאמר לבני ישראל אהיה שלחני אליכם,323.59,344.44,14,14,19.69,1.41
Exodus 3:15,ויאמר עוד אלהים אל־משה כה־תאמר אל־בני ישראל יהוה אלהי אבתיכם אלהי אברהם אלהי יצחק ואלהי יעקב שלחני אליכם זה־שמי לעלם וזה זכרי לדר דר,344.44,391.67,15,24,46.09,1.92
Exodus 3:16,לך ואספת את־זקני ישראל ואמרת אלהם יהוה אלהי אבתיכם נראה אלי אלהי אברהם יצחק ויעקב לאמר פקד פקדתי אתכם ואת־העשוי לכם במצרים,391.67,431.68,16,22,38.81,1.76
Exodus 3:17,ואמר אעלה אתכם מעני מצרים אל־ארץ הכנעני והחתי והאמרי והפרזי והחוי והיבוסי אל־ארץ זבת חלב ודבש,431.68,462.19,17,16,29.26,1.83
Exodus 3:18,ושמעו לקלך ובאת אתה וזקני ישראל אל־מלך מצרים ואמרתם אליו יהוה אלהי העבריים נקרה עלינו ועתה נלכה־נא דרך שלשת ימים במדבר ונזבחה ליהוה אלהינו,462.19,513.61,18,24,50.2500000000001,2.09
Exodus 3:19,ואני ידעתי כי לא־יתן אתכם מלך מצרים להלך ולא ביד חזקה,513.61,533.07,19,11,18.3199999999999,1.67
Exodus 3:20,ושלחתי את־ידי והכיתי את־מצרים בכל נפלאתי אשר אעשה בקרבו ואחרי־כן ישלח אתכם,533.07,552.62,20,12,18.37,1.53
Exodus 3:21,ונתתי את־חן העם־הזה בעיני מצרים והיה כי תלכון לא תלכו ריקם,552.62,569.53,21,11,15.77,1.43
Exodus 3:22,ושאלה אשה משכנתה ומגרת ביתה כלי־כסף וכלי זהב ושמלת ושמתם על־בניכם ועל־בנתיכם ונצלתם את־מצרים,569.53,1.18,22,14,23.63,1.69
Exodus 4:1,ויען משה ויאמר והן לא־יאמינו לי ולא ישמעו בקלי כי יאמרו לא־נראה אליך יהוה,1.18,20.92,1,14,18.64,1.33
Exodus 4:2,ויאמר אליו יהוה מזה [מה־] [זה] בידך ויאמר מטה,20.92,32.44,2,9,10.33,1.15
Exodus 4:3,ויאמר השליכהו ארצה וישליכהו ארצה ויהי לנחש וינס משה מפניו,32.44,48.88,3,10,15.29,1.53
Exodus 4:4,ויאמר יהוה אל־משה שלח ידך ואחז בזנבו וישלח ידו ויחזק בו ויהי למטה בכפו,48.88,70.46,4,14,20.45,1.46
Exodus 4:5,למען יאמינו כי־נראה אליך יהוה אלהי אבתם אלהי אברהם אלהי יצחק ואלהי יעקב,70.46,91.43,5,13,19.85,1.53
Exodus 4:6,ויאמר יהוה לו עוד הבא־נא ידך בחיקך ויבא ידו בחיקו ויוצאה והנה ידו מצרעת כשלג,91.43,119.88,6,15,27.3,1.82
Exodus 4:7,ויאמר השב ידך אל־חיקך וישב ידו אל־חיקו ויוצאה מחיקו והנה־שבה כבשרו,119.88,139.7,7,11,18.7,1.7
Exodus 4:8,והיה אם־לא יאמינו לך ולא ישמעו לקל האת הראשון והאמינו לקל האת האחרון,139.7,158.48,8,13,17.69,1.36
Exodus 4:9,והיה אם־לא יאמינו גם לשני האתות האלה ולא ישמעון לקלך ולקחת ממימי היאר ושפכת היבשה והיו המים אשר תקח מן־היאר והיו לדם ביבשת,158.48,202.21,9,23,42.59,1.85
Exodus 4:10,ויאמר משה אל־יהוה בי אדני לא איש דברים אנכי גם מתמול גם משלשם גם מאז דברך אל־עבדך כי כבד־פה וכבד לשון אנכי,202.21,239.22,10,22,35.9,1.63
Exodus 4:11,ויאמר יהוה אליו מי שם פה לאדם או מי־ישום אלם או חרש או פקח או עור הלא אנכי יהוה,239.22,266.69,11,19,26.4,1.39
Exodus 4:12,ועתה לך ואנכי אהיה עם־פיך והוריתיך אשר תדבר,266.69,279.59,12,8,11.78,1.47
Exodus 4:13,ויאמר בי אדני שלח־נא ביד־תשלח,279.59,288.79,13,5,8.02000000000004,1.6
Exodus 4:14,ויחר־אף יהוה במשה ויאמר הלא אהרן אחיך הלוי ידעתי כי־דבר ידבר הוא וגם הנה־הוא יצא לקראתך וראך ושמח בלבו,288.79,321.82,14,19,31.9,1.68
Exodus 4:15,ודברת אליו ושמת את־הדברים בפיו ואנכי אהיה עם־פיך ועם־פיהו והוריתי אתכם את אשר תעשון,321.82,345.98,15,14,23.1,1.65
Exodus 4:16,ודבר־הוא לך אל־העם והיה הוא יהיה־לך לפה ואתה תהיה־לו לאלהים,345.98,361.31,16,10,14.17,1.42
Exodus 4:17,ואת־המטה הזה תקח בידך אשר תעשה־בו את־האתת,361.31,372.47,17,7,9.81,1.4
Exodus 4:18,וילך משה וישב אל־יתר חתנו ויאמר לו אלכה נא ואשובה אל־אחי אשר־במצרים ואראה העודם חיים ויאמר יתרו למשה לך לשלום,372.47,403.88,18,20,30.24,1.51
Exodus 4:19,ויאמר יהוה אל־משה במדין לך שב מצרים כי־מתו כל־האנשים המבקשים את־נפשך,403.88,422.52,19,11,17.56,1.6
Exodus 4:20,ויקח משה את־אשתו ואת־בניו וירכבם על־החמר וישב ארצה מצרים ויקח משה את־מטה האלהים בידו,422.52,447.42,20,14,23.77,1.7
Exodus 4:21,ויאמר יהוה אל־משה בלכתך לשוב מצרימה ראה כל־המפתים אשר־שמתי בידך ועשיתם לפני פרעה ואני אחזק את־לבו ולא ישלח את־העם,447.42,479.37,21,19,30.86,1.62
Exodus 4:22,ואמרת אל־פרעה כה אמר יהוה בני בכרי ישראל,479.37,491.17,22,8,10.63,1.33
Exodus 4:23,ואמר אליך שלח את־בני ויעבדני ותמאן לשלחו הנה אנכי הרג את־בנך בכרך,491.17,511.69,23,12,19.38,1.62
Exodus 4:24,ויהי בדרך במלון ויפגשהו יהוה ויבקש המיתו,511.69,523.96,24,7,11.21,1.6
Exodus 4:25,ותקח צפרה צר ותכרת את־ערלת בנה ותגע לרגליו ותאמר כי חתן־דמים אתה לי,523.96,547.89,25,13,22.8099999999999,1.75
Exodus 4:26,וירף ממנו אז אמרה חתן דמים למולת,547.89,559.31,26,7,10.15,1.45
Exodus 4:27,ויאמר יהוה אל־אהרן לך לקראת משה המדברה וילך ויפגשהו בהר האלהים וישק־לו,559.31,580.81,27,12,20.36,1.7
Exodus 4:28,ויגד משה לאהרן את כל־דברי יהוה אשר שלחו ואת כל־האתת אשר צוהו,580.81,597.58,28,12,15.62,1.3
Exodus 4:29,וילך משה ואהרן ויאספו את־כל־זקני בני ישראל,597.58,610.62,29,7,11.8399999999999,1.69
Exodus 4:30,וידבר אהרן את כל־הדברים אשר־דבר יהוה אל־משה ויעש האתת לעיני העם,610.62,628.05,30,11,16.3200000000001,1.48
Exodus 4:31,ויאמן העם וישמעו כי־פקד יהוה את־בני ישראל וכי ראה את־ענים ויקדו וישתחוו,628.05,1.16,31,12,24.5600000000001,2.05
Exodus 5:1,ואחר באו משה ואהרן ויאמרו אל־פרעה כה־אמר יהוה אלהי ישראל שלח את־עמי ויחגו לי במדבר,1.16,24.02,1,15,21.71,1.45
Exodus 5:2,ויאמר פרעה מי יהוה אשר אשמע בקלו לשלח את־ישראל לא ידעתי את־יהוה וגם את־ישראל לא אשלח,24.02,47.47,2,16,22.24,1.39
Exodus 5:3,ויאמרו אלהי העברים נקרא עלינו נלכה נא דרך שלשת ימים במדבר ונזבחה ליהוה אלהינו פן־יפגענו בדבר או בחרב,47.47,82.03,3,18,33.41,1.86
Exodus 5:4,ויאמר אלהם מלך מצרים למה משה ואהרן תפריעו את־העם ממעשיו לכו לסבלתיכם,82.03,102.07,4,12,18.92,1.58
